HCP_ID,Yeo_Network,Confidence
1,1,1.0
2,1,1.0
3,1,0.9952
4,1,0.9998
5,1,0.9994
6,1,1.0
7,1,1.0
8,2,1.0
9,2,0.9813
10,3,0.3217
11,3,0.7804
12,6,0.5297
13,1,1.0
14,7,0.5592
15,6,0.4675
16,1,0.9978
17,3,0.7504
18,1,0.9137
19,1,0.9931
20,1,1.0
21,1,1.0
22,1,1.0
23,1,1.0
24,2,1.0
25,4,0.6121
26,4,0.4671
27,7,0.3678
28,7,0.4014
29,6,0.5894
30,7,0.997
31,7,0.5107
32,7,0.4347
33,7,1.0
34,7,0.9875
35,7,0.9362
36,2,0.8
37,4,0.9392
38,4,0.6995
39,2,0.609
40,2,0.9401
41,2,0.8561
42,3,0.7134
43,4,0.7316
44,3,0.38
45,3,0.9865
46,3,0.9966
47,3,0.8478
48,3,1.0
49,3,1.0
50,3,1.0
51,2,0.9246
52,3,0.5465
53,2,1.0
54,2,0.6251
55,2,0.8756
56,2,0.4618
57,4,0.6346
58,4,0.9767
59,4,0.9896
60,4,1.0
61,7,1.0
62,7,0.5832
63,6,0.6859
64,7,1.0
65,7,0.9984
66,7,0.7132
67,6,0.8613
68,7,0.7157
69,7,1.0
70,7,0.938
71,7,0.6884
72,7,0.9843
73,6,0.9547
74,6,0.5309
75,7,0.6354
76,7,0.916
77,6,0.8134
78,4,0.4772
79,6,0.8379
80,3,0.9471
81,6,0.9535
82,6,0.7098
83,6,0.9924
84,6,0.52
85,6,1.0
86,4,0.6004
87,7,0.5941
88,7,0.5015
89,6,0.9009
90,5,0.9485
91,6,0.736
92,5,0.9739
93,5,1.0
94,7,0.5354
95,3,1.0
96,3,0.8997
97,6,0.9929
98,6,0.8754
99,2,0.6936
100,2,0.813
101,2,1.0
102,2,1.0
103,2,0.9651
104,2,1.0
105,2,0.8104
106,4,0.6528
107,2,0.8978
108,4,0.9955
109,4,0.9644
110,4,0.8693
111,4,0.5273
112,4,0.6137
113,4,0.8589
114,4,0.9642
115,2,0.9371
116,3,0.9279
117,3,0.9523
118,5,0.827
119,1,0.8397
120,1,0.9623
121,1,1.0
122,5,0.9594
123,7,0.6167
124,2,1.0
125,2,0.6681
126,1,0.8741
127,1,0.9649
128,7,0.9238
129,7,0.7921
130,7,0.966
131,5,0.7088
132,7,0.9816
133,6,0.5896
134,5,0.4654
135,5,0.7797
136,3,0.751
137,3,0.6046
138,3,0.5383
139,2,0.4402
140,3,0.6862
141,1,0.7206
142,1,0.9091
143,3,0.5741
144,6,0.7377
145,6,0.522
146,3,0.5142
147,4,0.9133
148,4,0.6995
149,7,0.798
150,7,0.6522
151,7,0.6133
152,1,0.994
153,1,1.0
154,1,1.0
155,1,0.9725
156,1,1.0
157,1,0.8961
158,1,1.0
159,1,1.0
160,1,1.0
161,7,1.0
162,6,0.6388
163,1,1.0
164,5,0.9112
165,7,0.7973
166,5,1.0
167,4,0.6399
168,2,1.0
169,4,0.9991
170,6,0.8072
171,6,0.806
172,5,1.0
173,2,1.0
174,2,1.0
175,2,0.9746
176,7,1.0
177,6,0.505
178,4,0.5712
179,6,0.5708
180,7,0.5561
181,1,1.0
182,3,0.5033
183,1,0.9911
184,1,0.999
185,1,0.9994
186,1,1.0
187,1,1.0
188,2,1.0
189,2,1.0
190,3,0.5613
191,3,0.7923
192,2,0.2891
193,1,1.0
194,7,0.6592
195,7,0.5579
196,1,0.9973
197,3,0.686
198,1,0.6467
199,1,1.0
200,1,1.0
201,1,0.9991
202,1,1.0
203,1,0.7597
204,2,1.0
205,7,0.3971
206,7,0.7835
207,7,0.8332
208,4,0.401
209,6,0.5266
210,7,0.9899
211,7,0.599
212,7,0.7779
213,7,1.0
214,7,0.9799
215,7,1.0
216,2,0.9196
217,4,0.9665
218,4,0.7115
219,2,0.7235
220,2,0.8812
221,2,0.6977
222,3,0.5538
223,4,0.6626
224,4,0.3809
225,3,0.6478
226,3,0.8283
227,3,0.7122
228,3,0.9422
229,3,1.0
230,3,1.0
231,2,0.9566
232,3,0.5991
233,2,1.0
234,2,0.7005
235,2,0.9834
236,2,0.6021
237,4,0.7775
238,4,0.8908
239,4,0.9014
240,4,1.0
241,7,1.0
242,7,0.9294
243,6,0.6182
244,7,1.0
245,7,0.8817
246,7,0.6859
247,7,0.8038
248,7,0.9945
249,7,1.0
250,7,0.9877
251,7,0.9728
252,7,0.9524
253,6,0.9
254,7,0.7054
255,7,0.8043
256,7,0.9623
257,6,0.5058
258,4,0.513
259,6,0.9979
260,6,0.6315
261,6,0.8416
262,6,0.87
263,6,0.9854
264,4,0.5274
265,6,1.0
266,6,0.5174
267,7,0.7006
268,5,0.6256
269,7,0.563
270,5,0.9529
271,6,0.5863
272,5,0.984
273,5,1.0
274,7,0.7678
275,6,0.7165
276,3,0.9847
277,3,0.5326
278,7,0.6951
279,4,0.5781
280,2,0.9902
281,2,1.0
282,2,0.9793
283,4,0.543
284,2,1.0
285,2,0.8241
286,4,0.8841
287,2,0.6821
288,4,0.9417
289,4,0.9237
290,4,0.5932
291,6,0.6829
292,4,0.4612
293,4,0.9222
294,4,0.9934
295,4,0.5268
296,3,0.9323
297,3,0.7276
298,5,0.9299
299,1,0.5846
300,7,0.4194
301,1,1.0
302,5,0.9813
303,7,0.5432
304,2,0.8908
305,7,0.7576
306,1,0.5747
307,1,0.7868
308,7,1.0
309,7,1.0
310,7,0.9981
311,5,0.6725
312,7,1.0
313,6,0.5064
314,5,0.5591
315,5,0.8944
316,3,0.7934
317,3,0.3922
318,3,0.8832
319,7,0.6027
320,3,0.8248
321,3,0.5348
322,1,0.9209
323,1,0.4587
324,6,0.8907
325,3,0.6226
326,1,0.7545
327,4,0.7869
328,4,0.57
329,7,0.7339
330,7,0.9785
331,7,0.8184
332,1,0.9965
333,1,1.0
